Epoch,Train_Loss,Val_Loss
0,0.736192048,0.726170361
10,0.465993047,0.484765142
20,0.360225677,0.406991869
30,0.346216172,0.367543131
40,0.344756097,0.365134209
50,0.341488004,0.362639457
60,0.338111311,0.358647376
70,0.336821705,0.359627426
80,0.336088479,0.356869191
90,0.335611999,0.356093675
100,0.335198313,0.356158704
110,0.334831685,0.353965431
120,0.334513843,0.352367431
130,0.334221065,0.352223247
140,0.334261209,0.351625293
150,0.333795071,0.352432221
160,0.333548784,0.353510976
170,0.333281577,0.354232967
180,0.333096385,0.354616851
190,0.33284533,0.354843616
